landmark,x,y
bregma,71.0,63.24942780179567
cFP,72.08314260059856,17.91685739940145
lFP,47.028477131138644,17.19476233233575
rFP,96.13780807005845,16.833714798802895
lPB,30.0,31.75057219820434
rPB,113.1662852011971,36.444190134131404
lpRSP,60.722095067065695,116.44419013413142
rpRSP,81.0,117.1662852011971
aIPB,69.91685739940145,103.08314260059856
